What is your gender ?,What were your parents/caregivers' combined income at the start of university?,What was the highest level of education achieved by your parents/caregivers?,What was your high school entrance average? (out of 100),What was your ideal career upon entering UW?,What was your term average in 1A? ,What was your term average in 1B? ,What was your term average in 2A? ,What was your term average in 2B? ,What was your term average in 3A? ,What was your term average in 3B? ,What was your term average in 4A? ,What was your term average in 4B? ,Please list the coop job titles that you've had:,"If you have a job, what is your total annual compensation (in CAD)? ","If you have a job, did you receive an equity package? (stocks?)","If yes, how much (in CAD)?","If you have a job, did you receive a signing bonus? ","If yes, how much (in CAD)?","If you have a job, what city will you be working in? ","If you have a job, what country will you be working in? ",Do you consider this city to be within your hometown/region? ,"Of those leaving, do you plan to come back to Canada","If you are leaving, when will you return? ","If you plan on coming back to Canada, why? ","For your career, what do you care about most? (Select top 3)","In 10 years, which industry do you hope to work in?",How likely are you to choose Management Engineering again?,Did you get what you were aiming out of Management?,What program would you have selected at Waterloo if you hadn’t done Management Engineering? ,"What types of courses did you think Management would have more of?
","What types of courses did you think Management would have less of?
",How satisfied were you with professors in the Management department?,"In 5 years, how many 2021 MGTEs do you expect to be in touch with?","Do you plan to pursue any higher education?
","If you intend to get married, at what age do you expect to do so? ","If you intend to have children, at what age do you expect to do so?
",Which do you plan on donating to as an alumni?,Describe first year in one word. ,What is the most important thing you learned throughout university?,,,,,,
Male,200k +,Masters,84,Business,80 - 90,80 - 90,80 - 90,80 - 90,90 - 100,90 - 100,90 - 100,90 - 100,,140000,No,,No,,USA,USA,No,Yes,2-3 years,Job Details,"Job satisfaction, Skill Development, Compensation",Quick Service Restaurants,10,8,Other-Engineering,"Business Strategy, Economics, Psychology/Organizational Behaviour",Computer Science,8,1-5,MBA,32-35,32-35,"Management Sciences Department,",Clusterfuck,How to do proper time management ,,,,,,
Female,0 - 50k,High School,88,"Project Management, Product Management",70 - 80,70 - 80,70 - 80,70 - 80,70 - 80,70 - 80,70 - 80,80 - 90,,,,,,,,,,,,,"Perks (free food, events, office life), Work/life balance, Compensation",Management Consulting,10,9,Other-Engineering,"Business Strategy, Operations Research",Statistics,8,5-10,None,24-26,27-29,Women in Engineering,,Make friends and build a network ,,,,,,
Female,100k - 150k,Technical Degree / Diploma,89,Didn't Know,70 - 80,70 - 80,80 - 90,80 - 90,80 - 90,80 - 90,90 - 100,90 - 100,,90000,Yes,70000,No,,GTA,Canada,Yes,,,,"Job satisfaction, Skill Development, Team Members",Education,8,9,Systems Design Engineering,,,6,1-5,None,27-29,35+,I do not plan on donating,exciting,How to be confident in myself and be proud of who I am,,,,,,
Female,50k - 100k,Bachelors,92,Didn't Know,80 - 90,80 - 90,90 - 100,80 - 90,80 - 90,80 - 90,90 - 100,90 - 100,,66000,No,,No,,GTA,Canada,Yes,,,,"Skill Development, Work/life balance, Compensation",B2C Software,9,8,Systems Design Engineering,"Statistics, Design/User Research, Interdisciplinary Work, Psychology/Organizational Behaviour",Optimization,6,10-15,Undecided,Who knows,Who knows,I do not plan on donating,blur,take care of yourself because burnout is real so don't work for the sake of working,,,,,,
Female,50k - 100k,Some university / college,92,Didn't Know,80 - 90,80 - 90,80 - 90,70 - 80,80 - 90,80 - 90,80 - 90,80 - 90,,100000,Yes,,No,,Vancouver,Canada,No,,,,"Job satisfaction, Skill Development, Team Members, Perks (free food, events, office life), Work/life balance, Impact on society, Compensation",B2C Software,9,10,Systems Design Engineering,"Business Strategy, Computer Science, Design/User Research, Operations Research",Economics,8,5-10,Undecided,24-26,27-29,I do not plan on donating,unsheltered,Have a good support system ,,,,,,
Male,200k +,Doctorate,95,Didn't Know,80 - 90,80 - 90,80 - 90,80 - 90,70 - 80,70 - 80,80 - 90,90 - 100,,65000,Yes,,No,,GTA,Canada,No,,,,"Job satisfaction, Perks (free food, events, office life), Work/life balance",Education,7,7,Systems Design Engineering,Interdisciplinary Work,Business Strategy,7,10-15,PhD,27-29,30-32,I do not plan on donating,Fun,,,,,,,
Female,200k +,Doctorate,94,Didn't Know,70 - 80,60 - 70,80 - 90,80 - 90,70 - 80,80 - 90,90 - 100,90 - 100,,278600,Yes,168000,Yes,67200,Seattle,USA,Yes,Not sure,Not sure,,"Team Members, Work/life balance, Impact on society",Government/Advocacy/Non-Profit,9,9,CS/BBA Double Degree,"Business Strategy, Optimization, Math",Operations Research,9,5-10,Masters,24-26,Who knows,"Management Sciences Department,, Faculty of Engineering, University of Waterloo",adaptation ,,,,,,,
Female,150k - 200k,Bachelors,97,Didn't Know,90 - 100,90 - 100,90 - 100,90 - 100,90 - 100,90 - 100,90 - 100,90 - 100,,72000,No,,No,,KW,Canada,Yes,,,,"Job satisfaction, Team Members, Work/life balance",Government/Advocacy/Non-Profit,10,8,Other-Non Engineering,"Statistics, Math, Operations Research",,8,5-10,Undecided,Who knows,Who knows,,Challenging,The memories I make are more important than the grades I earn,,,,,,
Female,100k - 150k,Bachelors,89,Didn't Know,80 - 90,80 - 90,80 - 90,80 - 90,80 - 90,80 - 90,90 - 100,90 - 100,,,,,,,,,,,,,"Job satisfaction, Team Members, Work/life balance",B2C Software,9,8,Systems Design Engineering,"Business Strategy, Design/User Research, Optimization, Operations Research","Statistics, Economics, Psychology/Organizational Behaviour",5,5-10,Masters,30-32,32-35,I do not plan on donating,clueless,"no grade is worth crying over or beating yourself up for, in the end it really doesn't matter that much",,,,,,
Female,50k - 100k,High School,83,Didn't Know,50 - 60,50 - 60,60 - 70,70 - 80,70 - 80,80 - 90,80 - 90,80 - 90,,,,,,,,,,,,,"Job satisfaction, Work/life balance, Compensation",Management Consulting,10,10,Other-Engineering,"Business Strategy, Design/User Research, Interdisciplinary Work, Psychology/Organizational Behaviour","Statistics, Economics, Math",10,1-5,None,24-26,27-29,"Management Sciences Department,, Faculty of Engineering, University of Waterloo, Women in Engineering",Intense ,How to interact with other people and how other people work,,,,,,
